gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTIS HUMAN RESOURCES,2017,2,2,0
ALTIS HUMAN RESOURCES,2018,7,6,1
ALTIS HUMAN RESOURCES,2019,6,5,1
ANTHONY MACAULEY ASSOCIATES VICTORIA,2017,2,2,0
ANTHONY MACAULEY ASSOCIATES VICTORIA,2018,1,1,0
ANTHONY MACAULEY ASSOCIATES VICTORIA,2019,3,3,0
EXCEL HUMAN RESOURCES,2018,1,1,0
EXCEL HUMAN RESOURCES,2019,7,6,1
HANNAH MOFFAT KELLY,2017,1,1,0
HANNAH MOFFAT KELLY,2018,2,1,1
HANNAH MOFFAT KELLY,2019,3,0,3
INFO TECH RESEARCH GROUP,2018,2,2,0
INFO TECH RESEARCH GROUP,2019,1,1,0
MICROSOFT CANADA,2018,2,2,0
MICROSOFT CANADA,2019,3,3,0
PRIMEXX VENTURES,2018,2,2,0
PRIMEXX VENTURES,2019,2,0,2
SAMSON ASSOCIES CPA CONSULTATION,2017,1,1,0
SAMSON ASSOCIES CPA CONSULTATION,2018,1,1,0
SAMSON ASSOCIES CPA CONSULTATION,2019,2,2,0
SOFTCHOICE,2018,4,4,0
SOFTCHOICE,2019,4,4,0
STRIVE,2017,1,1,0
STRIVE,2018,2,1,1
STRIVE,2019,2,1,1
