source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,2528,1588,201,739,24935527.00,4979869.00,129121189.00
2011,2223,1411,187,625,22203068.00,4639077.00,219503065.00
2012,1843,1127,182,534,17433731.00,4503003.00,64443282.00
2013,2143,1313,182,648,20684817.00,4507574.00,103146643.00
2014,2045,1235,202,608,19218951.00,5005764.00,274047365.00
2015,2362,1407,229,726,21892931.00,5675873.00,113519320.00
2016,2464,1409,218,837,21967647.27,5405731.28,127013924.29
2017,2559,1544,191,824,23846849.72,4730865.68,164407307.53
2018,2531,1499,212,820,23150088.97,5255959.33,109900082.47
2019,2668,1510,196,962,23704385.61,4857243.25,117830661.93
