vendor_normalized,effective_year,sum_yearly_value
9137 5030 QUEBEC,2015,7598007.00
CIRQUE DU SOLEIL,2010,2835000.00
CIRQUE DU SOLEIL,2011,2835000.00
COFOMO,2010,83091.75
COFOMO,2011,83091.75
COFOMO,2013,595196.42
COFOMO,2014,707640.43
COFOMO,2015,785751.00
COFOMO,2016,751731.25
COFOMO,2017,2548513.20
COFOMO,2018,584622.47
COFOMO,2019,575763.09
COSSETTE COMMUNICATIONS,2011,2419642.41
COSSETTE COMMUNICATIONS,2012,3800057.23
COSSETTE COMMUNICATIONS,2013,5426.83
COSSETTE COMMUNICATIONS,2014,2776275.40
COSSETTE COMMUNICATIONS,2015,4988376.49
COSSETTE COMMUNICATIONS,2016,9587526.55
COSSETTE COMMUNICATIONS,2017,5543967.52
COSSETTE COMMUNICATIONS,2018,92031.34
COSSETTE COMMUNICATIONS,2019,202757.26
ENTREPRISE DE COMMUNICATIONS TANK,2014,2199733.33
ENTREPRISE DE COMMUNICATIONS TANK,2015,2512366.67
ENTREPRISE DE COMMUNICATIONS TANK,2016,2512366.67
ENTREPRISE DE COMMUNICATIONS TANK,2017,5325135.32
ENTREPRISE DE COMMUNICATIONS TANK,2018,5349366.30
ENTREPRISE DE COMMUNICATIONS TANK,2019,62445.27
EXCEL HUMAN RESOURCES,2010,1148340.25
EXCEL HUMAN RESOURCES,2011,899003.84
EXCEL HUMAN RESOURCES,2012,1026114.90
EXCEL HUMAN RESOURCES,2013,1231094.05
EXCEL HUMAN RESOURCES,2014,994757.12
EXCEL HUMAN RESOURCES,2015,799224.37
EXCEL HUMAN RESOURCES,2016,402937.73
EXCEL HUMAN RESOURCES,2017,249157.82
EXCEL HUMAN RESOURCES,2018,599289.08
GROUPE PHANEUF,2016,1808000.00
GROUPE PHANEUF,2017,5085000.00
MAPLESOFT CONSULTING,2010,886963.40
MAPLESOFT CONSULTING,2011,264610.51
MAPLESOFT CONSULTING,2012,644607.08
MAPLESOFT CONSULTING,2013,1137656.91
MAPLESOFT CONSULTING,2014,917320.97
MAPLESOFT CONSULTING,2015,1756329.98
MAPLESOFT CONSULTING,2016,219872.43
MAPLESOFT CONSULTING,2017,418871.12
MAPLESOFT CONSULTING,2018,480168.05
MAPLESOFT CONSULTING,2019,82181.84
NORTHERN MICRO,2010,77419.65
NORTHERN MICRO,2011,302183.31
NORTHERN MICRO,2013,228153.15
NORTHERN MICRO,2014,1278272.26
NORTHERN MICRO,2015,1849961.64
NORTHERN MICRO,2016,773346.14
NORTHERN MICRO,2017,975952.63
NORTHERN MICRO,2018,392495.20
NORTHERN MICRO,2019,192908.91
SNC LAVALIN,2010,7935329.98
SNC LAVALIN,2011,7868175.00
