gen_vendor_normalized,total_entries,total_contracts,total_amendments
SOUTHSIDE COMMUNICATIONS,5,2,3
PRA,5,5,0
QUANTUM MANAGEMENT SERVICES,4,4,0
GOSS GILROY,4,3,1
NITAM SOLUTIONS,3,3,0
BRENDA KEEN CONSULTING,3,3,0
BRYMARK,3,2,1
ALTIS HUMAN RESOURCES,3,3,0
VERSACOM,3,1,2
CGI,3,3,0
GONTRAN BLAIS,2,2,0
SAMSON ASSOCIES,2,2,0
HAY GROUP,2,1,1
HIGHER EDUCATION STRATEGY,2,2,0
ST JOSEPH PRINT GROUP,2,2,0
HILTON GARDEN INN,2,1,1
INGENIUM COMMUNICATIONS,2,2,0
INSTITUTE ON GOVERNANCE,2,2,0
ADVANCED BUSINESS INTERIORS,2,2,0
EMOND HARNDEN,2,2,0
EXCEL HUMAN RESOURCES,2,2,0
176461 CANADA,2,2,0
LES TRADUCTIONS HD,2,1,1
MAXSYS PROFESSIONALS AND,2,1,1
CAPITAL OFFICE INTERIORS,2,2,0
COMMUNITY FOUNDATIONS,2,1,1
MYRIAM AFRIAT,2,1,1
CARLSON WAGONLIT GLOBAL TRAVEL,2,1,1
CONTRACT COMMUNITY,2,1,1
ORACLE CANADA,2,2,0
PAMELA RISEBOROUGH,2,1,1
LAUZE GUY,1,1,0
LE COLLECTIF,1,1,0
MEDIAMISER,1,1,0
MJ DALEY CONSULTING,1,1,0
NVISION INSIGHT GROUP,1,1,0
OPENFRAME TECHNOLOGIES,1,1,0
PITSEOLAK PFEIFER O A INUIT,1,1,0
PROLOGIC SYSTEMS,1,1,0
PSAV AUDIO VISUAL,1,1,0
RE THINK STRATEGIC CONSULTING,1,1,0
SAMSON RH,1,1,0
SCIENCE METRIX,1,1,0
STRAUSS JAY,1,1,0
THE CANADIAN PRESS,1,1,0
THE HILLBROOKE GROUP,1,1,0
UNIVERSITY OF BRITISH COLUMBIA,1,1,0
WALKER CLARE,1,1,0
WATERBRIDGE MEDIA,1,1,0
YORK UNIVERSITY,1,1,0
2275517 ONTARIO,1,1,0
7985673 CANADA,1,1,0
ADVANCED CHIPPEWA TECHNOLOGIES,1,1,0
AGILITY PR SOLUTIONS CANADA,1,1,0
ASCRIBE MARKETING,1,1,0
BANG THE TABLE,1,1,0
BEVERLY ENSOM,1,1,0
BF WORKPLACE,1,1,0
BROWN CAROLYN,1,1,0
CAGS,1,1,0
CARON TRAINING CENTRE,1,1,0
CHRISTOPHER REID,1,1,0
CISTEL TECHNOLOGY,1,1,0
CLARIVATE ANALYTICSUK,1,1,0
CNW GROUP,1,1,0
CONSORTIUM ERUDIT,1,1,0
CONVERSART CONSULTING,1,1,0
COOPER AMANDA,1,1,0
DAIGEN COMMUNICATIONS,1,1,0
DON THOMPSON JEWELLERS,1,1,0
FERENCE COMPANY CONSULTING,1,1,0
FRESH ART AND DESIGN,1,1,0
FREYNET GAGNE TRANSLATION AND,1,1,0
FUTURESCAPER,1,1,0
GLOBAL UPHOLSTERY,1,1,0
GROUPE VOXCO,1,1,0
GWP BRAND ENGINEERING,1,1,0
INSTITUT NATIONAL DE LA,1,1,0
KATE MCGREGOR COMMUNICATIONS,1,1,0
LARIVIERE VINCENT,1,1,0
