owner_acronym,sum_effective_value
ssc,132615073.96
ircc,12762043.30
esdc,7706149.42
cbsa,7649617.30
dnd,4823420.90
tbs,3724586.93
rcmp,3265999.16
pspc,2625449.04
lac,2531647.94
gac,2457931.08
stats,1648427.20
just,1598606.63
fin,1416168.56
ic,1245760.29
ec,1079091.09
pch,980450.45
csc,929849.39
tc,880161.56
inac,867320.37
pc,598433.64
agr,535802.85
elections,478927.38
isc,439304.68
vac,436295.46
csps,417057.15
cas,404733.81
cfia,404347.25
cnsc,347238.97
cer,339524.58
pco,289055.17
dfo,258633.63
cihr,226384.36
nrcan,225785.24
cra,169793.88
pptc,141555.75
hc,126884.81
fintrac,99280.92
crtc,76231.87
osfi,65767.85
infra,55247.15
osgg,49476.66
ps,44203.91
wd,40579.88
fcac,36532.53
acoa,24771.00
pbc,19442.00
ced,14036.40
sshrc,12428.19
opc,12342.51
irb,9471.68
nserc,5131.33
