owner_acronym,source_year,total_entries,total_contracts,total_amendments
cbsa,2014,3,3,0
cbsa,2015,5,5,0
cbsa,2018,2,2,0
cfia,2011,1,1,0
cgc,2016,1,1,0
cgc,2017,2,2,0
cgc,2018,2,2,0
cgc,2019,3,3,0
cihr,2015,1,1,0
cnsc,2012,3,3,0
cnsc,2013,1,1,0
cnsc,2018,1,1,0
cra,2010,119,114,5
cra,2011,100,88,12
cra,2012,102,101,1
cra,2013,34,34,0
cra,2014,21,21,0
cra,2015,10,10,0
cra,2016,3,2,1
cra,2017,5,5,0
cra,2018,4,4,0
cra,2019,1,0,1
csa,2010,1,1,0
csc,2014,2,2,0
csc,2017,1,1,0
csc,2019,2,2,0
dfo,2010,7,7,0
dfo,2011,2,2,0
dfo,2012,2,2,0
dfo,2014,1,1,0
dfo,2016,1,1,0
dfo,2017,6,6,0
dfo,2018,7,7,0
dfo,2019,10,9,1
dnd,2010,25,25,0
dnd,2011,13,13,0
dnd,2012,5,5,0
dnd,2013,10,10,0
dnd,2015,1,1,0
dnd,2016,2,2,0
dnd,2017,4,4,0
dnd,2018,5,4,1
dnd,2019,9,8,1
ec,2010,4,4,0
ec,2011,4,4,0
elections,2017,1,1,0
gac,2010,4,4,0
gac,2011,1,1,0
gac,2019,1,1,0
hc,2010,1,1,0
hc,2011,2,2,0
hc,2015,1,1,0
hc,2016,3,3,0
hc,2017,1,1,0
ic,2010,2,2,0
ic,2012,1,1,0
inac,2013,1,1,0
ircc,2010,1,1,0
ircc,2019,1,1,0
lac,2019,1,1,0
nbc,2019,1,1,0
nrcan,2013,1,1,0
nrcan,2016,1,1,0
nrcan,2017,1,1,0
pc,2010,1,1,0
phac,2010,1,1,0
phac,2011,2,2,0
phac,2015,1,1,0
phac,2016,3,3,0
phac,2018,3,3,0
psc,2011,1,0,1
pspc,2010,4,4,0
pspc,2011,4,4,0
rcmp,2010,8,8,0
rcmp,2011,18,18,0
rcmp,2012,3,3,0
rcmp,2013,2,2,0
rcmp,2015,1,1,0
rcmp,2016,3,3,0
rcmp,2017,3,3,0
rcmp,2019,2,2,0
ssc,2012,9,5,4
ssc,2013,2,2,0
ssc,2015,1,1,0
ssc,2016,35,35,0
ssc,2017,55,52,3
ssc,2018,32,31,1
ssc,2019,44,44,0
stats,2010,2,2,0
stats,2012,1,1,0
stats,2015,1,1,0
tbs,2010,2,1,1
tc,2011,18,18,0
