owner_acronym,sum_effective_value
dnd,105965574.02
rcmp,48610845.53
ssc,19370625.59
cbsa,19032919.63
cfia,15522438.54
tc,11891062.14
stats,11754840.01
dfo,11570850.62
esdc,11097900.93
agr,9921734.09
ircc,9876028.84
gac,9762521.36
ps,6793569.00
ec,6550066.52
vac,6137956.96
nrc,5327599.71
pco,5281812.76
just,4700744.61
nrcan,4290732.28
pspc,4205723.35
ic,3802648.11
csa,3575126.02
hc,3135469.26
cnsc,3019079.30
csc,2992499.31
pch,2627450.63
infra,2467818.11
nserc,2080692.91
inac,1972424.18
fcac,1959994.00
pc,1911378.71
tbs,1894572.52
irb,1793818.96
phac,1597435.55
csps,1466564.94
cra,1289217.49
osfi,1246727.31
oag,1227134.80
fin,1114965.53
cas,848469.27
lac,815204.99
cer,806207.10
ppsc,583136.58
ocol,517461.16
fintrac,467144.98
isc,401252.96
acoa,355985.39
opc,345646.84
atssc,301970.43
fja,296536.21
cihr,291054.66
iaac,285291.50
ced,272861.15
feddev,200480.53
pptc,196259.60
sirc,173973.40
cta,159598.95
tsb,158375.61
vrab,135107.58
cpc,131944.25
chrc,108914.24
cgc,108411.17
cics,100168.35
oic,87029.83
crtc,84342.76
pbc,74292.35
ocl,67781.92
ijc,51111.88
wd,28042.19
psic,25525.04
mpcc,6779.87
