owner_acronym,effective_year,sum_yearly_value
agr,2014,109308.47
agr,2015,89782.07
agr,2018,47893.20
agr,2019,73985.22
atssc,2016,259843.50
atssc,2017,192043.50
atssc,2019,27586.13
cannor,2019,22092.20
cas,2017,46488.20
cas,2018,39832.00
cas,2019,77143.68
cbsa,2014,1300456.49
cbsa,2015,2081036.79
cbsa,2016,493582.83
cbsa,2017,4839421.74
cbsa,2018,4591831.75
cbsa,2019,4915898.31
cc,2017,47530.00
cer,2017,25000.00
cer,2019,24973.00
cfia,2011,688306.00
cfia,2012,54089.38
cfia,2013,34374.60
cfia,2014,497766.70
cfia,2015,63987.95
cfia,2016,-853.15
cfia,2017,40612.20
cfia,2018,85758.06
cfia,2019,83898.90
cnsc,2010,364532.25
cnsc,2011,57774.08
cnsc,2013,24323.25
cnsc,2014,36717.94
cnsc,2015,56024.00
cnsc,2016,43629.31
cnsc,2017,302894.95
cnsc,2018,155150.84
cnsc,2019,184687.91
cra,2011,519958.32
cra,2018,65619.10
cra,2019,241407.25
csa,2013,10347.75
csa,2014,94717.33
csa,2015,300867.50
csa,2016,289737.00
csa,2017,323895.48
csa,2018,318334.18
csa,2019,23373.17
csc,2015,141250.00
csc,2019,39842.85
csps,2018,175038.80
csps,2019,88780.25
cta,2014,6168.94
cta,2015,13903.94
cta,2016,13903.94
cta,2017,13903.94
cta,2018,4025.89
cta,2019,4025.89
dfo,2010,61261.61
dfo,2011,102500.00
dfo,2012,102500.00
dfo,2014,60540.00
dfo,2015,148980.00
dfo,2016,258656.00
dfo,2017,-106471.69
dfo,2018,822.64
dfo,2019,175793.52
dnd,2010,226800.00
dnd,2012,27685.00
dnd,2013,270455.90
dnd,2014,56885.90
dnd,2015,89608.00
dnd,2016,73733.00
dnd,2017,356183.30
dnd,2018,1405604.95
dnd,2019,1171702.41
ec,2010,802308.25
ec,2011,62722.25
ec,2013,262555.39
ec,2014,263883.00
ec,2015,73044.77
ec,2016,65420.72
ec,2017,63615.67
ec,2018,105181.09
ec,2019,149588.66
elections,2015,239531.25
elections,2016,239531.25
elections,2017,239531.25
elections,2018,239531.25
elections,2019,131776.68
esdc,2010,769954.25
esdc,2011,344528.47
esdc,2012,384011.88
esdc,2013,241613.95
esdc,2014,391768.66
esdc,2015,238159.78
esdc,2016,90690.16
esdc,2017,2970.00
esdc,2018,24947.34
esdc,2019,396042.67
feddev,2010,258887.25
fin,2015,12500.00
fin,2016,37416.50
fin,2018,92377.50
fintrac,2018,24860.00
fintrac,2019,24860.00
fja,2015,12500.00
fja,2016,12500.00
gac,2010,218476.29
gac,2011,625330.22
gac,2012,270218.23
gac,2013,719246.59
gac,2014,642354.16
gac,2015,237170.83
gac,2016,382931.26
