owner_acronym,source_year,total_entries,total_contracts,total_amendments
acoa,2010,1,1,0
acoa,2011,2,2,0
acoa,2012,4,4,0
acoa,2015,1,1,0
acoa,2016,1,1,0
acoa,2017,3,3,0
agr,2013,2,2,0
agr,2014,1,1,0
agr,2015,1,1,0
agr,2016,3,3,0
agr,2017,3,3,0
agr,2018,8,8,0
agr,2019,2,2,0
atssc,2017,1,1,0
atssc,2018,1,1,0
cas,2017,7,7,0
cas,2018,11,11,0
cas,2019,9,8,1
cbsa,2014,6,6,0
cbsa,2015,1,1,0
cbsa,2016,3,3,0
cbsa,2017,2,2,0
cbsa,2018,6,5,1
cbsa,2019,1,1,0
ced,2010,2,2,0
ced,2011,1,1,0
ced,2012,1,1,0
ced,2013,1,1,0
ced,2015,1,1,0
ced,2017,2,2,0
ced,2019,1,1,0
cer,2015,1,1,0
cer,2017,1,1,0
cer,2018,2,1,1
cer,2019,2,2,0
cfia,2011,3,3,0
cfia,2012,1,1,0
cfia,2013,2,2,0
cfia,2016,3,3,0
cfia,2017,1,1,0
cfia,2018,1,0,1
cfia,2019,3,3,0
cgc,2016,1,1,0
cgc,2017,1,1,0
cgc,2018,1,1,0
cgc,2019,4,4,0
chrc,2018,4,4,0
chrc,2019,4,4,0
cics,2018,1,1,0
cihr,2016,2,2,0
cihr,2017,2,2,0
cihr,2018,5,5,0
cihr,2019,4,4,0
cnsc,2010,7,7,0
cnsc,2011,2,2,0
cnsc,2015,1,1,0
cnsc,2017,1,1,0
cnsc,2018,1,1,0
cnsc,2019,1,1,0
cra,2010,21,19,2
cra,2011,3,2,1
cra,2013,5,5,0
cra,2014,6,5,1
cra,2015,1,1,0
cra,2016,5,2,3
cra,2017,13,7,6
cra,2018,8,2,6
cra,2019,9,3,6
crtc,2017,7,7,0
crtc,2018,5,5,0
crtc,2019,2,1,1
csa,2010,2,2,0
csa,2011,4,4,0
csa,2012,3,3,0
csa,2014,1,1,0
csa,2015,2,2,0
csa,2016,2,2,0
csa,2017,2,2,0
csa,2018,1,1,0
csa,2019,2,2,0
csc,2013,2,2,0
csc,2014,5,4,1
csc,2016,3,3,0
csc,2017,7,7,0
csc,2018,3,2,1
csc,2019,4,4,0
csps,2019,1,1,0
cta,2017,1,1,0
dfo,2010,16,16,0
dfo,2011,13,12,1
dfo,2012,4,3,1
dfo,2013,5,5,0
dfo,2014,5,4,1
dfo,2015,4,3,1
dfo,2016,5,5,0
dfo,2017,6,6,0
dfo,2018,8,8,0
dfo,2019,9,8,1
dnd,2010,13,13,0
dnd,2011,8,8,0
dnd,2012,9,9,0
dnd,2013,11,11,0
dnd,2014,13,13,0
dnd,2015,12,12,0
dnd,2016,7,7,0
dnd,2017,21,20,1
dnd,2018,23,22,1
dnd,2019,13,11,2
ec,2010,26,26,0
ec,2011,26,26,0
ec,2012,11,10,1
ec,2013,13,12,1
ec,2014,12,11,1
ec,2015,8,8,0
ec,2016,7,7,0
ec,2017,7,7,0
ec,2018,1,1,0
ec,2019,10,10,0
elections,2017,6,6,0
elections,2018,8,7,1
elections,2019,3,1,2
esdc,2010,8,8,0
esdc,2011,1,1,0
esdc,2012,3,3,0
esdc,2013,8,8,0
esdc,2014,3,3,0
esdc,2015,2,2,0
esdc,2016,5,5,0
esdc,2017,3,3,0
esdc,2018,9,8,1
esdc,2019,7,6,1
fcac,2012,1,1,0
fcac,2015,1,1,0
fcac,2019,2,2,0
feddev,2010,2,1,1
feddev,2012,8,4,4
feddev,2013,2,1,1
fintrac,2010,1,1,0
fintrac,2011,4,4,0
fintrac,2012,1,1,0
fintrac,2015,1,1,0
fintrac,2016,1,1,0
fintrac,2017,3,3,0
fintrac,2018,1,1,0
fja,2012,1,1,0
fja,2013,4,4,0
fja,2015,1,1,0
fja,2017,1,1,0
fja,2018,1,1,0
fja,2019,1,1,0
gac,2010,41,37,4
gac,2011,33,33,0
gac,2012,7,7,0
gac,2013,9,8,1
gac,2014,1,1,0
gac,2015,2,2,0
gac,2016,3,3,0
gac,2017,4,4,0
gac,2018,4,4,0
gac,2019,5,5,0
hc,2011,3,3,0
hc,2012,1,1,0
hc,2013,2,2,0
hc,2014,2,2,0
hc,2015,2,2,0
hc,2016,1,1,0
hc,2017,3,3,0
hc,2018,1,1,0
hc,2019,6,6,0
iaac,2010,1,1,0
iaac,2011,1,1,0
iaac,2013,3,2,1
iaac,2018,1,1,0
iaac,2019,1,1,0
ic,2010,34,34,0
ic,2011,17,15,2
ic,2012,11,11,0
ic,2013,10,10,0
ic,2014,8,8,0
ic,2015,3,3,0
ic,2016,4,4,0
ic,2017,9,8,1
ic,2018,3,3,0
ic,2019,3,3,0
inac,2013,1,1,0
inac,2014,2,2,0
inac,2017,2,2,0
inac,2019,1,1,0
infra,2015,1,1,0
infra,2016,2,2,0
infra,2017,1,1,0
infra,2018,2,2,0
infra,2019,2,1,1
irb,2019,1,1,0
ircc,2010,22,21,1
ircc,2011,6,5,1
ircc,2012,4,4,0
ircc,2013,3,3,0
ircc,2014,3,3,0
ircc,2015,2,2,0
ircc,2018,1,1,0
ircc,2019,2,2,0
isc,2018,1,1,0
isc,2019,2,2,0
just,2010,8,7,1
just,2011,11,11,0
just,2012,5,5,0
just,2013,5,5,0
just,2014,1,1,0
just,2016,1,1,0
just,2017,2,2,0
just,2018,2,2,0
lac,2012,2,2,0
lac,2013,3,3,0
lac,2014,3,3,0
lac,2015,2,2,0
lac,2016,1,1,0
lac,2017,1,1,0
mgerc,2018,1,1,0
