vendor_normalized,sum_effective_value
IBM CANADA,379903472.99
BELL CANADA,254288106.45
VERITAAQ TECHNOLOGY HOUSE,151117106.32
CA CANADA COMPANY,103231618.24
RANDSTAD,89014829.80
CGI,88856755.24
MICROSOFT CANADA,77711366.41
CANADIAN CORPS OF COMMISSIONAIRES,74614494.11
MODIS CANADA,63052588.16
COSSETTE COMMUNICATIONS,47004110.69
COMPUGEN,45491112.14
DELL COMPUTER,43832418.93
IRON MOUNTAIN CANADA OPS,42922858.82
SUN MICROSYSTEMS,38712924.72
TPG TECHNOLOGY CONSULTANTS,29887127.38
ORACLE CANADA,28270127.96
DATA COMMUNICATIONS MANAGEMENT,25056148.34
SUPREMEX,24809187.10
SAP,24785625.10
HEWLETT PACKARD,24186682.31
BANCTEC CANADA,24161818.75
CDW CANADA,22850660.84
IT NET CONSULTANTS,20356252.98
CANADA POST,18647256.75
NCO FINANCIAL SERVICES,16058635.75
DATA GROUP,15825719.76
TOTAL CREDIT RECOVERY,14727926.76
EXCEL HUMAN RESOURCES,14063210.12
PERCEPTICS,13992800.47
BELLORS,13664000.10
IBISKA TELECOM,13562827.10
NISHA TECHONOLOGIES,13433464.20
THE DATA GROUP OF COMPANIES,12583046.24
PRECISIONERP,12493387.36
BOWE BELL HOWELL INTERNATIONAL,12443859.50
TEKNION,11995441.70
ITEX,11364644.77
MOBILSHRED RECALL,10991609.72
MOORE CANADA,10758116.20
TELUS CANADA,10434409.73
ALLIED INTERNATIONAL CREDIT,10218646.99
CONSOLIDATED CIVIL ENFORCEMENT,9534977.51
BMC SOFTWARE,9222695.52
SAS INSTITUTE,8747641.80
CITRIX,8658772.43
DELOITTE AND TOUCHE,8282391.84
TK CANADA,7919489.87
CBV COLLECTION SERVICES,7713065.11
BMC SOFTWARE CANADA,7676336.89
WOLTERS KLUWER,7496682.40
NORTHERN MICRO,7384553.79
4 OFFICE AUTOMATION,7373220.86
CCH CANADIAN,7144605.97
COLLECTCORP,7030519.30
CALIAN,6935317.84
MICRO FOCUS CANADA,6806060.06
GARTNER,6788402.50
RIDEAU RECOGNITION SOLUTIONS,6759706.32
XEROX,6560930.29
NOR DON COLLECTION NETWORK,6557040.15
PORTFOLIO MANAGEMENT SOLUTIONS,6407845.93
PRECISION ERP,6276271.44
THE DB COMPANIES OF CANADA,5780385.05
AGENCY59,5759545.43
ATTACHMATE CANADA,5455884.45
SOFTCHOICE,5438393.91
ARO,5353145.97
SI SYSTEMS,5085446.75
KBS,5011747.27
KROMAR PRINTING,4922276.33
COMPUWARE OF CANADA,4917997.30
ECOLE DE LANGUES DE LESTRIE,4807995.72
COLLECT COM CREDIT,4714878.38
TERAMACH TECHNOLOGIES,4668467.95
SECURITAS,4485112.75
MITEL,4141137.03
GSI INTERNATIONAL CONSULTING GROUP,4070440.85
INFORMATICA,3957792.28
METAFORE PARTNERSHIP,3865733.79
PITNEY BOWES,3747300.07
FINANCIAL DEBT RECOVERY,3644305.21
BRC BUSINESS ENTERPRISES,3581390.30
ARIBA,3508718.49
MTS ALLSTREAM,3472753.16
ERGO INDUSTRIAL SEATING SYSTEMS,3463308.30
SUMTOTAL SYSTEMS,3440756.87
ST JOSEPH PRINT GROUP,3216587.73
SYBASE CANADA,3199398.08
OPEX,3179568.80
INTELLINX SOFTWARE,3129637.29
ARC ACCOUNTS RECOVERY,3049365.16
FAMILY SERVICES OF GREATER VANCOUVE,3007576.20
THOMSON REUTERS CANADA,2987252.87
JACQUES LAROCHE RECHERCHE JLR,2865768.31
FAMILY SERVICES OF GREATER,2742765.65
APPROVA,2713834.83
ALLIANCEONE ALLIANCEONE,2699510.40
ARC ACCOUNTS RECOVERY CORPORATIO,2666666.67
ALLEN SYSTEMS GROUP,2636138.36
ADRM TECHNOLOGY CONSULTING,2553419.54
MORNEAU SHEPELL,2548550.60
FORREST GREEN CONSULTING,2517037.93
SUSTEMA,2508985.45
ATTACHMATE,2505109.74
ENVELOPPE CONCEPT,2504073.35
FTI CONSULTING CANADA,2488578.42
